statsbomb_name,wikidata_preferred_name,confidence,match_status,position,birth_date,wikidata_id
Alejandro Darío Gómez,Papu Gómez,29,LOW CONFIDENCE,,,
Alexis Mac Allister,Alexis Mac Allister,100,MATCHED,,,Q33297140
Cristian Gabriel Romero,Cristian Romero,79,MATCHED,,,Q28058687
Damián Emiliano Martínez,Emiliano Martínez,84,MATCHED,,,Q3275904
Enzo Fernandez,Enzo Zidane,64,LOW CONFIDENCE,,,
Exequiel Alejandro Palacios,Exequiel Palacios,77,MATCHED,,,Q19345715
Germán Alejandro Pezzella,,0,NO MATCH,,,
Gonzalo Ariel Montiel,Gonzalo Montiel,83,MATCHED,,,Q26255087
Guido Rodríguez,Guido Rodríguez,100,MATCHED,,,Q18224850
Juan Marcos Foyth,Juan Foyth,74,LOW CONFIDENCE,,,Q29841260
Julián Álvarez,Julián Alvarez,48,LOW CONFIDENCE,,,
Lautaro Javier Martínez,Lautaro Martínez,81,MATCHED,,,Q21484126
Leandro Daniel Paredes,Leandro Paredes,81,MATCHED,,,Q630170
Lionel Andrés Messi Cuccittini,Lionel Messi,59,LOW CONFIDENCE,,,
Lisandro Martínez,Lisandro Martínez,100,MATCHED,,,Q30881092
Marcos Javier Acuña,,0,NO MATCH,,,
Nahuel Molina Lucero,Nahuel Molina,79,MATCHED,,,Q22082590
Nicolás Alejandro Tagliafico,Nicolás Tagliafico,77,MATCHED,,,Q3876530
Nicolás Hernán Otamendi,Nicolás Otamendi,83,MATCHED,,,Q182063
Paulo Bruno Exequiel Dybala,Paulo Dybala,62,LOW CONFIDENCE,,,
Rodrigo Javier De Paul,Rodrigo De Paul,81,MATCHED,,,Q6110670
Thiago Ezequiel Almada,Thiago Almada,74,LOW CONFIDENCE,,,Q57293140
Ángel Fabián Di María Hernández,Ángel Di María,62,LOW CONFIDENCE,,,
Ángel Martín Correa,Ángel Correa,79,MATCHED,,,Q10855654
