statsbomb_name,wikidata_preferred_name,confidence,match_status,position,birth_date,wikidata_id
Alex Nicolao Telles,Alex Telles,73,LOW CONFIDENCE,,,Q15214940
Alex Sandro Lobo Silva,Alex Sandro,67,LOW CONFIDENCE,,,
Alisson Ramsés Becker,Alisson Becker,82,MATCHED,,,Q18237361
Antony Matheus dos Santos,Antony dos Santos,81,MATCHED,,,Q59205608
Bruno Guimarães Rodriguez Moura,Bruno Guimarães,64,LOW CONFIDENCE,,,
Carlos Henrique Casimiro,Casemiro,44,LOW CONFIDENCE,,,
Daniel Alves da Silva,Daniel Alves da Silva,100,MATCHED,,,Q111112114
Danilo Luiz da Silva,Danilo,46,LOW CONFIDENCE,,,
Ederson Santana de Moraes,,0,NO MATCH,,,
Frederico Rodrigues Santos,Fred,27,LOW CONFIDENCE,,,
Fábio Henrique Tavares,Fábio Tavares,73,LOW CONFIDENCE,,,Q71746338
Gabriel Fernando de Jesus,Gabriel Jesus,68,LOW CONFIDENCE,,,
Gabriel Teodoro Martinelli Silva,Gabriel Martinelli,72,LOW CONFIDENCE,,,Q61460651
Gleison Bremer Silva Nascimento,Bremer,32,LOW CONFIDENCE,,,
Lucas Tolentino Coelho de Lima,Lucas Paquetá,38,LOW CONFIDENCE,,,
Marcos Aoás Corrêa,Marquinhos,38,LOW CONFIDENCE,,,
Neymar da Silva Santos Junior,Neymar,34,LOW CONFIDENCE,,,
Pedro Guilherme Abreu dos Santos,Pedro Guilherme Abreu dos Santos,100,MATCHED,,,Q47491410
Raphael Dias Belloli,Raphinha,36,LOW CONFIDENCE,,,
Richarlison de Andrade,Richarlison,67,LOW CONFIDENCE,,,
Rodrygo Silva de Goes,Rodrygo,50,LOW CONFIDENCE,,,
Thiago Emiliano da Silva,Thiago Silva,67,LOW CONFIDENCE,,,
Vinícius José Paixão de Oliveira Júnior,Vinícius Júnior,54,LOW CONFIDENCE,,,
Weverton Pereira da Silva,Weverton,48,LOW CONFIDENCE,,,
Éder Gabriel Militão,Éder Militão,71,LOW CONFIDENCE,,,Q29950055
Éverton Augusto de Barros Ribeiro,Everton Ribeiro,43,LOW CONFIDENCE,,,
