statsbomb_name,wikidata_preferred_name,confidence,match_status,position,birth_date,wikidata_id
Bukayo Saka,Bukayo Saka,100,MATCHED,,,Q59306386
Callum Wilson,Callum Wilson,100,MATCHED,,,Q5022998
Declan Rice,Declan Rice,100,MATCHED,,,Q30007142
Eric Dier,Eric Dier,100,MATCHED,,,Q1439915
Harry Kane,Harry Kane,100,MATCHED,,,Q969725
Harry Maguire,Harry Maguire,100,MATCHED,,,Q165772
Jack Grealish,Jack Grealish,100,MATCHED,,,Q16056053
John Stones,John Stones,100,MATCHED,,,Q2025900
Jordan Brian Henderson,Jordan Henderson,84,MATCHED,,,Q273715
Jordan Pickford,Jordan Pickford,100,MATCHED,,,Q13014035
Jude Bellingham,Jude Bellingham,100,MATCHED,,,Q66241169
Kalvin Phillips,Kalvin Phillips,100,MATCHED,,,Q20641319
Kieran Trippier,,0,NO MATCH,,,
Kyle Walker,Kyle Walker,100,MATCHED,,,Q59108
Luke Shaw,Luke Shaw,100,MATCHED,,,Q93563
Marcus Rashford,Marcus Rashford,100,MATCHED,,,Q22951255
Mason Mount,Mason Mount,100,MATCHED,,,Q38000669
Phil Foden,Phil Foden,100,MATCHED,,,Q30729096
Philip Foden,,0,NO MATCH,,,
Raheem Sterling,Raheem Sterling,100,MATCHED,,,Q312157
Trent Alexander-Arnold,Trent Alexander-Arnold,100,MATCHED,,,Q27569376
