statsbomb_name,wikidata_preferred_name,confidence,match_status,position,birth_date,wikidata_id
Adrien Rabiot,Adrien Rabiot,100,MATCHED,,,Q18962
Antoine Griezmann,Antoine Griezmann,100,MATCHED,,,Q455462
Aurélien Djani Tchouaméni,Aurélien Tchouaméni,85,MATCHED,,,Q46951844
Axel Disasi,Axel Disasi,100,MATCHED,,,Q23887767
Benjamin Pavard,Benjamin Pavard,100,MATCHED,,,Q19599124
Dayotchanculle Upamecano,Dayot Upamecano,77,MATCHED,,,Q20723878
Eduardo Camavinga,Eduardo Camavinga,100,MATCHED,,,Q62960177
Hugo Lloris,Hugo Lloris,100,MATCHED,,,Q1907
Ibrahima Konaté,Ibrahima Konaté,100,MATCHED,,,Q30301454
Jordan Veretout,,0,NO MATCH,,,
Jules Koundé,Jules Koundé,100,MATCHED,,,Q47170176
Kingsley Coman,Kingsley Coman,100,MATCHED,,,Q6413296
Kylian Mbappé Lottin,Kylian Mbappé,77,MATCHED,,,Q21621995
Lucas Hernández Pi,Lucas Hernandez,88,MATCHED,,,Q18924954
Marcus Thuram,Marcus Thuram,100,MATCHED,,,Q19903718
Mattéo Guendouzi Olié,Mattéo Guendouzi,88,MATCHED,,,Q27663808
Olivier Giroud,Olivier Giroud,100,MATCHED,,,Q1911
Ousmane Dembélé,,0,NO MATCH,,,
Randal Kolo Muani,Randal Kolo Muani,100,MATCHED,,,Q59655998
Raphaël Varane,Raphaël Varane,100,MATCHED,,,Q489039
Steve Mandanda,Steve Mandanda,100,MATCHED,,,Q1924
Theo Bernard François Hernández,Théo Hernandez,57,LOW CONFIDENCE,,,
William Saliba,William Saliba,100,MATCHED,,,Q56868118
Youssouf Fofana,Youssouf Fofana,100,MATCHED,,,Q56282611
