statsbomb_name,wikidata_preferred_name,confidence,match_status,position,birth_date,wikidata_id
Andries Noppert,Andries Noppert,100,MATCHED,,,Q23905451
Cody Mathès Gakpo,Cody Gakpo,77,MATCHED,,,Q28801927
Daley Blind,Daley Blind,100,MATCHED,,,Q128912
Davy Klaassen,Davy Klaassen,100,MATCHED,,,Q129101
Denzel Dumfries,,0,NO MATCH,,,
Frenkie de Jong,Frenkie de Jong,100,MATCHED,,,Q19898898
Jurriën David Norman Timber,Jurriën Timber,67,LOW CONFIDENCE,,,
Kenneth Taylor,Kenneth Taylor,100,MATCHED,,,Q57457130
Luuk de Jong,Luuk de Jong,100,MATCHED,,,Q313911
Marten de Roon,Marten de Roon,100,MATCHED,,,Q285684
Matthijs de Ligt,Matthijs de Ligt,100,MATCHED,,,Q26259982
Memphis Depay,Memphis Depay,100,MATCHED,,,Q1894
Nathan Aké,Nathan Aké,100,MATCHED,,,Q1755683
Noa Lang,Noa Lang,100,MATCHED,,,Q29441778
Steven Berghuis,Steven Berghuis,100,MATCHED,,,Q128721
Steven Bergwijn,Steven Bergwijn,100,MATCHED,,,Q17496653
Teun Koopmeiners,Teun Koopmeiners,100,MATCHED,,,Q39498277
Vincent Janssen,Vincent Janssen,100,MATCHED,,,Q14856634
Virgil van Dijk,Virgil van Dijk,100,MATCHED,,,Q133903
Wout Weghorst,Wout Weghorst,100,MATCHED,,,Q2210473
Xavi Simons,,0,NO MATCH,,,
