statsbomb_name,wikidata_preferred_name,confidence,match_status,position,birth_date,wikidata_id
Alejandro Balde Martínez,Alejandro Balde,79,MATCHED,,,Q105681392
Anssumane Fati,Ansu Fati,78,MATCHED,,,Q66743376
Aymeric Laporte,Aymeric Laporte,100,MATCHED,,,Q3855340
Carlos Soler Barragán,Carlos Soler,75,MATCHED,,,Q26707913
César Azpilicueta Tanco,César Azpilicueta,84,MATCHED,,,Q294806
Daniel Carvajal Ramos,Dani Carvajal,76,MATCHED,,,Q127452
Daniel Olmo Carvajal,Dani Olmo,62,LOW CONFIDENCE,,,
Ferrán Torres García,Ferran Torres,77,MATCHED,,,Q44297797
Jordi Alba Ramos,Jordi Alba,77,MATCHED,,,Q187159
Jorge Resurrección Merodio,Koke,14,LOW CONFIDENCE,,,
Marco Asensio Willemsen,Marco Asensio,72,LOW CONFIDENCE,,,Q16148978
Marcos Llorente Moreno,Marcos Llorente,81,MATCHED,,,Q21130285
Nicholas Williams Arthuer,Nico Williams,68,LOW CONFIDENCE,,,
Pablo Martín Páez Gavira,Gavi,31,LOW CONFIDENCE,,,
Pablo Sarabia García,Pablo Sarabia,81,MATCHED,,,Q510165
Pau Francisco Torres,,0,NO MATCH,,,
Pedro González López,Pedri,35,LOW CONFIDENCE,,,
Rodrigo Hernández Cascante,Rodri,33,LOW CONFIDENCE,,,
Sergio Busquets i Burgos,Sergio Busquets,77,MATCHED,,,Q49704
Unai Simón Mendibil,Unai Simón,67,LOW CONFIDENCE,,,
Álvaro Borja Morata Martín,Álvaro Morata,67,LOW CONFIDENCE,,,
